Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
41,Ardhendu Maity,BHAGABANPUR,AITC,0,Graduate Professional,Rs 2281600,~ 22 Lacs+,Rs 0,~
42,Abdur Razzak Molla,BHANGAR,AITC,0,Graduate,Rs 11350035,~ 1 Crore+,Rs 0,~
44,Subhash Mondal,BHATAR,AITC,0,Graduate Professional,Rs 2614003,~ 26 Lacs+,Rs 777433,~ 7 Lacs+
7,Chandrima Bhattacharya,KANTHI DAKSHIN : BYE ELECTION ON 9-04-2017,AITC,0,Graduate Professional,Rs 2433025,~ 24 Lacs+,Rs 0,~
46,Sujit Bose,BIDHAN NAGAR,AITC,0,10th Pass,Rs 13275749,~ 1 Crore+,Rs 1343723,~ 13 Lacs+
47,Subhranshu Roy,BIJPUR,AITC,0,Post Graduate,Rs 17712683,~ 1 Crore+,Rs 1849801,~ 18 Lacs+
48,Khagendranath Hembram,BINPUR (ST),AITC,0,12th Pass,Rs 411724,~ 4 Lacs+,Rs 0,~
51,Chandranath Sinha,BOLPUR,AITC,0,Post Graduate,Rs 16236458,~ 1 Crore+,Rs 0,~
54,Ashok Kumar Deb,BUDGE BUDGE,AITC,0,Graduate Professional,Rs 1411000,~ 14 Lacs+,Rs 0,~
55,Protima Rajak,BURWAN (SC),INC,0,Graduate,Rs 419254,~ 4 Lacs+,Rs 0,~
56,Shyamal Mondal,CANNING PASCHIM (SC),AITC,0,Graduate,Rs 5224728,~ 52 Lacs+,Rs 0,~
57,Saokat Molla,CANNING PURBA,AITC,0,12th Pass,Rs 17553136,~ 1 Crore+,Rs 553163,~ 5 Lacs+
58,Ratna Ghosh (kar),CHAKDAH,AITC,0,Post Graduate,Rs 1744797,~ 17 Lacs+,Rs 200000,~ 2 Lacs+
60,Asif Mehbub,CHANCHAL,INC,0,Post Graduate,Rs 4880865,~ 48 Lacs+,Rs 0,~
61,Indranil Sen,CHANDANNAGAR,AITC,0,Others,Rs 66782498,~ 6 Crore+,Rs 8388670,~ 83 Lacs+
63,Swati Khandoker,CHANDITALA,AITC,0,12th Pass,Rs 3811189,~ 38 Lacs+,Rs 0,~
64,Chhaya Dolai,CHANDRAKONA (SC),AITC,0,10th Pass,Rs 882429,~ 8 Lacs+,Rs 0,~
65,Rukbanur Rahman,CHAPRA,AITC,0,Post Graduate,Rs 273695,~ 2 Lacs+,Rs 0,~
66,Dhirendra Nath Layek,CHHATNA,Revolutionary Socialist Party,0,12th Pass,Rs 1240138,~ 12 Lacs+,Rs 195275,~ 1 Lacs+
70,Mihir Goswami,COOCHBEHAR DAKSHIN,AITC,0,Graduate Professional,Rs 10330101,~ 1 Crore+,Rs 0,~
71,Nagendra Nath Roy,COOCHBEHAR UTTAR (SC),AIFB,0,Post Graduate,Rs 6259725,~ 62 Lacs+,Rs 234109,~ 2 Lacs+
39,Mamata Banerjee,BHABANIPORE,AITC,0,Post Graduate,Rs 3045013,~ 30 Lacs+,Rs 0,~
72,Goutam Deb,DABGRAM-PHULBARI,AITC,0,Graduate Professional,Rs 11756254,~ 1 Crore+,Rs 0,~
37,Safiujjaman Seikh,BELDANGA,INC,0,12th Pass,Rs 5556248,~ 55 Lacs+,Rs 0,~
35,Partha Chatterjee,BEHALA PASCHIM,AITC,0,Doctorate,Rs 16059386,~ 1 Crore+,Rs 3200000,~ 32 Lacs+
5,Krishna Chandra Santra,ARAMBAG (SC),AITC,0,Graduate,Rs 3973028,~ 39 Lacs+,Rs 0,~
14,Sahina Mamtaz Begum (khan),NOWDA : BYE ELECTION ON 19-05-2019,AITC,0,10th Pass,Rs 8220000,~ 82 Lacs+,Rs 0,~
12,Saikat Panja,MONTESWAR : BYE ELECTION ON 19-11-2016,AITC,0,Post Graduate,Rs 3423752,~ 34 Lacs+,Rs 526668,~ 5 Lacs+
9,Abhedananda Thander,AUSGRAM (SC),AITC,0,10th Pass,Rs 3207344,~ 32 Lacs+,Rs 0,~
11,Dulal Chandra Das,MAHESHTALA : BYE ELECTION ON 28-05-2018,AITC,0,8th Pass,Rs 92757128,~ 9 Crore+,Rs 0,~
10,Ashis Kumar Biswas,KRISHNAGANJ (SC) : BYE ELECTION ON 29-04-2019,BJP,0,10th Pass,Rs 11247779,~ 1 Crore+,Rs 0,~
9,Pradip Sarkar,KHARAGPUR SADAR : BYE ELECTION ON 25-11-2019,AITC,0,Graduate,Rs 10274658,~ 1 Crore+,Rs 3300000,~ 33 Lacs+
16,Ashim Kumar Majhi,BALAGARH (SC),AITC,0,Graduate,Rs 1664253,~ 16 Lacs+,Rs 0,~
8,Bimalendu Sinha Roy,KARIMPUR : BYE ELECTION ON 25-11-2019,AITC,0,Post Graduate,Rs 24957763,~ 2 Crore+,Rs 535297,~ 5 Lacs+
18,Baishali Dalmiya,BALLY,AITC,0,Graduate,Rs 11716204,~ 1 Crore+,Rs 4089323,~ 40 Lacs+
20,Biswanath Choudhury,BALURGHAT,Revolutionary Socialist Party,0,Graduate,Rs 13711373,~ 1 Crore+,Rs 0,~
21,Rajiblochan Saren,BANDWAN (ST),AITC,0,Graduate Professional,Rs 7024969,~ 70 Lacs+,Rs 1365877,~ 13 Lacs+
22,Shampa Daripa,BANKURA,INC,0,Graduate,Rs 14868951,~ 1 Crore+,Rs 109371,~ 1 Lacs+
23,Tapas Roy,BARANAGAR,AITC,0,Graduate Professional,Rs 18968700,~ 1 Crore+,Rs 6361026,~ 63 Lacs+
24,Chiranjeet Chakrabarti,BARASAT,AITC,0,12th Pass,Rs 37966298,~ 3 Crore+,Rs 0,~
26,Rabiranjan Chattopadhyay,BARDHAMAN DAKSHIN,AITC,0,Doctorate,Rs 5564979,~ 55 Lacs+,Rs 0,~
27,Nisith Kumar Malik,BARDHAMAN UTTAR (SC),AITC,0,12th Pass,Rs 425000,~ 4 Lacs+,Rs 0,~
30,Biman Banerjee,BARUIPUR PASCHIM,AITC,0,Post Graduate,Rs 17786577,~ 1 Crore+,Rs 0,~
31,Nirmal Chandra Mondal,BARUIPUR PURBA (SC),AITC,0,Graduate,Rs 6733357,~ 67 Lacs+,Rs 0,~
32,Gobinda Chandra Naskar,BASANTI (SC),AITC,0,Post Graduate,Rs 26508230,~ 2 Crore+,Rs 0,~
33,Dipendu Biswas,BASIRHAT DAKSHIN,AITC,0,Graduate,Rs 2417463,~ 24 Lacs+,Rs 347865,~ 3 Lacs+
36,Sovan Chatterjee,BEHALA PURBA,AITC,0,Graduate Professional,Rs 67259912,~ 6 Crore+,Rs 0,~
74,Amar Singh Rai,DARJEELING,Gorkha Janmukti Morcha,0,Post Graduate,Rs 13373536,~ 1 Crore+,Rs 480260,~ 4 Lacs+
52,Surajit Kumar Biswas,BONGAON DAKSHIN (SC),AITC,0,Graduate,Rs 8839195,~ 88 Lacs+,Rs 325996,~ 3 Lacs+
272,Bina Mondal,SWARUPNAGAR (SC),AITC,0,Graduate,Rs 3601058,~ 36 Lacs+,Rs 0,~
83,Anisur Rahaman Sarkar,DOMKAL,CPI(M),0,Post Graduate,Rs 10243190,~ 1 Crore+,Rs 0,~
85,Bratyabrata Basu,DUM DUM,AITC,0,Post Graduate,Rs 19529177,~ 1 Crore+,Rs 0,~
86,Tanmoy Bhattacharya,DUM DUM UTTAR,CPI(M),0,Graduate,Rs 6688985,~ 66 Lacs+,Rs 0,~
88,Santosh Debray,DURGAPUR PURBA,CPI(M),0,12th Pass,Rs 7719193,~ 77 Lacs+,Rs 0,~
105,Miltan Rasid,HANSAN,INC,0,Post Graduate,Rs 3427605,~ 34 Lacs+,Rs 0,~
104,Tapasi Mondal,HALDIA (SC),CPI(M),0,10th Pass,Rs 5131714,~ 51 Lacs+,Rs 778477,~ 7 Lacs+
90,Swarna Kamal Saha,ENTALLY,AITC,0,Graduate Professional,Rs 66935435,~ 6 Crore+,Rs 0,~
103,Jyoti Priya Mallick,HABRA,AITC,0,Graduate Professional,Rs 15103087,~ 1 Crore+,Rs 0,~
3,Joyel Murmu,HABIBPUR : BYE ELECTION ON 19-05-2019,BJP,0,8th Pass,Rs 2699953,~ 26 Lacs+,Rs 0,~
75,Mamata Bhunia,DASPUR,AITC,0,10th Pass,Rs 954356,~ 9 Lacs+,Rs 0,~
92,Pulin Bihari Ray,GAIGHATA (SC),AITC,0,Graduate,Rs 19411857,~ 1 Crore+,Rs 242114,~ 2 Lacs+
93,Alok Kumar Majhi,GALSI (SC),AITC,0,Graduate,Rs 668504,~ 6 Lacs+,Rs 0,~
94,Goutam Das,GANGARAMPUR (SC),INC,0,Graduate,Rs 3494838,~ 34 Lacs+,Rs 45000,~ 45 Thou+
100,Churamani Mahata,GOPIBALLAVPUR,AITC,0,10th Pass,Rs 579237,~ 5 Lacs+,Rs 0,~
95,Ashis Chakraborty,GARBETA,AITC,0,12th Pass,Rs 5055741,~ 50 Lacs+,Rs 500000,~ 5 Lacs+
96,Dipali Biswas,GAZOLE (SC),CPI(M),0,10th Pass,Rs 13537689,~ 1 Crore+,Rs 2690000,~ 26 Lacs+
97,Shankar Dolai,GHATAL (SC),AITC,0,Graduate,Rs 8928547,~ 89 Lacs+,Rs 0,~
82,Rajib Banerjee,DOMJUR,AITC,0,Post Graduate,Rs 7828208,~ 78 Lacs+,Rs 0,~
107,Nilima Nag (mallick),HARINGHATA (SC),AITC,0,12th Pass,Rs 3541342,~ 35 Lacs+,Rs 0,~
98,Md Gulam Rabbani,GOALPOKHAR,AITC,0,Post Graduate,Rs 2365000,~ 23 Lacs+,Rs 0,~
5,Tapan Deb Singha,KALIAGANJ : BYE ELECTION ON 25-11-2019,AITC,0,Graduate,Rs 11657155,~ 1 Crore+,Rs 977742,~ 9 Lacs+
79,Mitali Roy,DHUPGURI (SC),AITC,0,12th Pass,Rs 11951268,~ 1 Crore+,Rs 7400597,~ 74 Lacs+
76,Selima Khatun (bibi),DEBRA,AITC,0,Post Graduate,Rs 4113000,~ 41 Lacs+,Rs 3220000,~ 32 Lacs+
77,Rahima Mondal,DEGANGA,AITC,0,10th Pass,Rs 3955081,~ 39 Lacs+,Rs 0,~
110,Mostaque Alam,HARISCHANDRAPUR,INC,0,Post Graduate,Rs 10496122,~ 1 Crore+,Rs 0,~
253,Sukumar Mahata,SANDESHKHALI (ST),AITC,1,Post Graduate,Rs 454664,~ 4 Lacs+,Rs 106142,~ 1 Lacs+
250,Srikanta Mahata,SALBONI,AITC,1,Graduate,Rs 3436723,~ 34 Lacs+,Rs 0,~
280,Samir Kumar Panja,UDAYNARAYANPUR,AITC,1,Graduate Professional,Rs 13410622,~ 1 Crore+,Rs 0,~
4,Asit Mitra,AMTA,INC,1,Graduate,Rs 1150379,~ 11 Lacs+,Rs 70000,~ 70 Thou+
67,Hamidul Rahaman,CHOPRA,AITC,1,10th Pass,Rs 11107399,~ 1 Crore+,Rs 0,~
68,Nayna Bandyopadhyay,CHOWRANGEE,AITC,1,12th Pass,Rs 24509453,~ 2 Crore+,Rs 45000,~ 45 Thou+
245,Rabiul Alam Chowdhury,REJINAGAR,INC,1,Graduate,Rs 9420577,~ 94 Lacs+,Rs 283791,~ 2 Lacs+
171,Gias Uddin Molla,MAGRAHAT PASCHIM,AITC,1,10th Pass,Rs 6043641,~ 60 Lacs+,Rs 519756,~ 5 Lacs+
124,Jahanara Khan,JAMURIA,CPI(M),1,Graduate,Rs 1081339,~ 10 Lacs+,Rs 0,~
59,Abdul Mannan,CHAMPDANI,INC,1,Graduate Professional,Rs 3461607,~ 34 Lacs+,Rs 0,~
69,Asit Mazumder,CHUNCHURA,AITC,1,Graduate Professional,Rs 16129746,~ 1 Crore+,Rs 10194,~ 10 Thou+
167,Monirul Islam,LABPUR,AITC,1,12th Pass,Rs 4168820,~ 41 Lacs+,Rs 0,~
226,Akhruzzaman,RAGHUNATHGANJ,INC,1,Graduate Professional,Rs 10183749,~ 1 Crore+,Rs 0,~
2,Sourav Chakraborty,ALIPURDUARS,AITC,1,Doctorate,Rs 11425498,~ 1 Crore+,Rs 0,~
99,Manas Majumdar,GOGHAT (SC),AITC,1,Graduate,Rs 876014,~ 8 Lacs+,Rs 0,~
128,Smita Bakshi,JORASANKO,AITC,1,Graduate,Rs 21281719,~ 2 Crore+,Rs 3029516,~ 30 Lacs+
25,Bidhan Upadhyay,BARBANI,AITC,1,12th Pass,Rs 11931211,~ 1 Crore+,Rs 2591552,~ 25 Lacs+
29,Silbhadra Datta,BARRACKPUR,AITC,1,Post Graduate,Rs 2732409,~ 27 Lacs+,Rs 0,~
170,Rathin Ghosh,MADHYAMGRAM,AITC,1,12th Pass,Rs 3303404,~ 33 Lacs+,Rs 0,~
222,Swapan Debnath,PURBASTHALI DAKSHIN,AITC,1,Post Graduate,Rs 6832901,~ 68 Lacs+,Rs 0,~
89,Nihar Ranjan Ghosh,ENGLISH BAZAR,IND,1,12th Pass,Rs 10200639,~ 1 Crore+,Rs 11657392,~ 1 Crore+
