Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
1,James Kujur,KUMARGRAM (ST),AITC,0,Graduate,Rs 81245571,~ 8 Crore+,Rs 0,~
151,Nabin Chandra Bag,KHANDAGHOSH (SC),AITC,0,Post Graduate,Rs 492497,~ 4 Lacs+,Rs 0,~
152,Dinen Roy,KHARAGPUR,AITC,0,12th Pass,Rs 20174205,~ 2 Crore+,Rs 0,~
154,Amit Kumar Mitra,KHARDAHA,AITC,0,Doctorate,Rs 117481555,~ 11 Crore+,Rs 0,~
157,Firhad Hakim,KOLKATA PORT,AITC,0,Graduate,Rs 60516261,~ 6 Crore+,Rs 5282729,~ 52 Lacs+
158,Shyamal Santra,KOTULPUR (SC),AITC,0,Post Graduate,Rs 2714191,~ 27 Lacs+,Rs 568438,~ 5 Lacs+
160,Ujjal Biswas,KRISHNANAGAR DAKSHIN,AITC,0,Graduate,Rs 21860580,~ 2 Crore+,Rs 89849,~ 89 Thou+
161,Jogaranjan Halder,KULPI,AITC,0,Graduate Professional,Rs 11196334,~ 1 Crore+,Rs 0,~
162,Ramsankar Halder,KULTALI (SC),CPI(M),0,10th Pass,Rs 830237,~ 8 Lacs+,Rs 0,~
163,Ujjal Chatterjee,KULTI,AITC,0,Graduate,Rs 2534808,~ 25 Lacs+,Rs 0,~
164,Toraf Hossain Mandal,KUMARGANJ,AITC,0,Graduate,Rs 3679352,~ 36 Lacs+,Rs 300000,~ 3 Lacs+
165,Rohit Sharma,KURSEONG,Gorkha Janmukti Morcha,0,Doctorate,Rs 7353095,~ 73 Lacs+,Rs 100000,~ 1 Lacs+
15,Gita Rani Bhunia,SABANG : BYE- ELECTION ON 21-12-2017,AITC,0,8th Pass,Rs 55058407,~ 5 Crore+,Rs 3427209,~ 34 Lacs+
166,Narmada Chandra Roy,KUSHMUNDI (SC),Revolutionary Socialist Party,0,Graduate,Rs 5017775,~ 50 Lacs+,Rs 32500,~ 32 Thou+
279,Fazal Karim Miah,TUFANGANJ,AITC,0,8th Pass,Rs 2427023,~ 24 Lacs+,Rs 0,~
173,Kasturi Das,MAHESHTALA,AITC,0,8th Pass,Rs 110260556,~ 11 Crore+,Rs 0,~
174,Bulu Chik Baraik,MAL (ST),AITC,0,8th Pass,Rs 810645,~ 8 Lacs+,Rs 0,~
175,Alberuni Zulkarnain,MALATIPUR,INC,0,Post Graduate,Rs 4200000,~ 42 Lacs+,Rs 0,~
177,Sandhya Rani Tudu,MANBAZAR (ST),AITC,0,10th Pass,Rs 5397129,~ 53 Lacs+,Rs 1000000,~ 10 Lacs+
180,Md. Mottakin Alam,MANICKCHAK,INC,0,10th Pass,Rs 13012428,~ 1 Crore+,Rs 0,~
181,Sadhan Pande,MANIKTALA,AITC,0,Graduate Professional,Rs 42518499,~ 4 Crore+,Rs 0,~
182,Binay Krishna Barman,MATHABHANGA (SC),AITC,0,Graduate Professional,Rs 18335744,~ 1 Crore+,Rs 0,~
183,Sankar Malakar,MATIGARA-NAXALBARI (SC),INC,0,Literate,Rs 31540813,~ 3 Crore+,Rs 700000,~ 7 Lacs+
184,Ananta Deb Adhikari,MAYNAGURI (SC),AITC,0,Graduate,Rs 10938513,~ 1 Crore+,Rs 132877,~ 1 Lacs+
185,Abhijit Roy,MAYURESWAR,AITC,0,Graduate,Rs 3974548,~ 39 Lacs+,Rs 0,~
168,Abu Hena,LALGOLA,INC,0,Post Graduate,Rs 10373519,~ 1 Crore+,Rs 204694,~ 2 Lacs+
186,Arghya Roy Pradhan,MEKLIGANJ (SC),AITC,0,Graduate,Rs 3870220,~ 38 Lacs+,Rs 0,~
282,Haider Aziz Safwi,ULUBERIA PURBA,AITC,0,Post Graduate,Rs 64368264,~ 6 Crore+,Rs 0,~
147,Paresh Murmu,KESHIARY (ST),AITC,0,Graduate,Rs 1157926,~ 11 Lacs+,Rs 0,~
115,Laxmi Ratan Shukla,HOWRAH UTTAR,AITC,0,10th Pass,Rs 51607445,~ 5 Crore+,Rs 50000,~ 50 Thou+
1,Pawan Kumar Singh,BHATPARA : BYE ELECTION ON 19-05-2019,BJP,0,Graduate,Rs 57528207,~ 5 Crore+,Rs 16250000,~ 1 Crore+
117,Amal Acharjee,ITAHAR,AITC,0,12th Pass,Rs 12154357,~ 1 Crore+,Rs 1419292,~ 14 Lacs+
118,Sujan Chakraborty,JADAVPUR,CPI(M),0,Doctorate,Rs 5162458,~ 51 Lacs+,Rs 118000,~ 1 Lacs+
119,Md. Abdul Ghani,JAGATBALLAVPUR,AITC,0,Post Graduate,Rs 31915688,~ 3 Crore+,Rs 0,~
120,Parash Dutta,JAGATDAL,AITC,0,Graduate,Rs 5926000,~ 59 Lacs+,Rs 0,~
121,Abdur Razzak Mandal,JALANGI,CPI(M),0,Post Graduate,Rs 6721689,~ 67 Lacs+,Rs 0,~
122,Sukhbilas Barma,JALPAIGURI (SC),INC,0,Doctorate,Rs 30853789,~ 3 Crore+,Rs 248000,~ 2 Lacs+
123,Samar Hazra,JAMALPUR (SC),CPI(M),0,10th Pass,Rs 867324,~ 8 Lacs+,Rs 60000,~ 60 Thou+
126,Jakir Hossain,JANGIPUR,AITC,0,10th Pass,Rs 270663262,~ 27 Crore+,Rs 9773153,~ 97 Lacs+
127,Biswanath Das,JAYNAGAR (SC),AITC,0,Post Graduate,Rs 4685523,~ 46 Lacs+,Rs 449761,~ 4 Lacs+
148,Seuli Saha,KESHPUR (SC),AITC,0,Graduate Professional,Rs 18866243,~ 1 Crore+,Rs 274000,~ 2 Lacs+
129,Shaktipada Mahato,JOYPUR,AITC,0,8th Pass,Rs 1445000,~ 14 Lacs+,Rs 0,~
284,Prabir Kumar Ghosal,UTTARPARA,AITC,0,Graduate,Rs 7704627,~ 77 Lacs+,Rs 365000,~ 3 Lacs+
134,Sarita Rai,KALIMPONG,Gorkha Janmukti Morcha,0,Post Graduate,Rs 2328512,~ 23 Lacs+,Rs 1447120,~ 14 Lacs+
135,Biswajit Kundu,KALNA (SC),AITC,0,10th Pass,Rs 6635590,~ 66 Lacs+,Rs 1566286,~ 15 Lacs+
271,Humayun Reza,SUTI,INC,0,Graduate Professional,Rs 9623550,~ 96 Lacs+,Rs 0,~
137,Manash Mukherjee,KAMARHATI,CPI(M),0,Graduate,Rs 6566679,~ 65 Lacs+,Rs 0,~
283,Dr. Nirmal Maji,ULUBERIA UTTAR (SC),AITC,0,Graduate Professional,Rs 2328025,~ 23 Lacs+,Rs 25906,~ 25 Thou+
139,Dibyendu Adhikari,KANTHI DAKSHIN,AITC,0,Graduate,Rs 18224378,~ 1 Crore+,Rs 805869,~ 8 Lacs+
140,Banasri Maity,KANTHI UTTAR,AITC,0,Graduate,Rs 5802934,~ 58 Lacs+,Rs 195840,~ 1 Lacs+
141,Manodeb Sinha,KARANDIGHI,AITC,0,Post Graduate,Rs 4396345,~ 43 Lacs+,Rs 1673511,~ 16 Lacs+
142,Mahua Moitra,KARIMPUR,AITC,0,Graduate,Rs 25059546,~ 2 Crore+,Rs 0,~
145,Mala Saha,KASHIPUR-BELGACHIA,AITC,0,Post Graduate,Rs 8788944,~ 87 Lacs+,Rs 1257639,~ 12 Lacs+
132,Pramatha Nath Ray,KALIAGANJ (SC),INC,0,Post Graduate,Rs 2439010,~ 24 Lacs+,Rs 0,~
114,Arup Roy,HOWRAH MADHYA,AITC,0,Graduate Professional,Rs 27303482,~ 2 Crore+,Rs 2361469,~ 23 Lacs+
187,Nargis Begum,MEMARI,AITC,0,10th Pass,Rs 7140187,~ 71 Lacs+,Rs 0,~
190,Sajal Panja,MONTESWAR,AITC,0,12th Pass,Rs 4714667,~ 47 Lacs+,Rs 133000,~ 1 Lacs+
238,Sankar Singha,RANAGHAT UTTAR PASCHIM,INC,0,8th Pass,Rs 11098647,~ 1 Crore+,Rs 0,~
239,Samir Kumar Poddar,RANAGHAT UTTAR PURBA (SC),AITC,0,Graduate,Rs 25536964,~ 2 Crore+,Rs 0,~
240,Jyostna Mandi,RANIBANDH (ST),AITC,0,Others,Rs 196633,~ 1 Lacs+,Rs 30000,~ 30 Thou+
275,Bachchu Hansda,TAPAN (ST),AITC,0,Post Graduate,Rs 3615899,~ 36 Lacs+,Rs 0,~
242,Firoza Begam,RANINAGAR,INC,0,Post Graduate,Rs 9256378,~ 92 Lacs+,Rs 0,~
243,Sobhandeb Chattopadhyay,RASHBEHARI,AITC,0,Graduate Professional,Rs 15870827,~ 1 Crore+,Rs 0,~
244,Samar Mukherjee,RATUA,INC,0,12th Pass,Rs 5433190,~ 54 Lacs+,Rs 0,~
246,Manas Ranjan Bhunia,SABANG,INC,0,Graduate Professional,Rs 34923709,~ 3 Crore+,Rs 1078764,~ 10 Lacs+
247,Bankim Chandra Hazra,SAGAR,AITC,0,Post Graduate,Rs 5233696,~ 52 Lacs+,Rs 0,~
248,Subrata Saha,SAGARDIGHI,AITC,0,Graduate Professional,Rs 20124621,~ 2 Crore+,Rs 1923579,~ 19 Lacs+
249,Nilabati Saha,SAINTHIA (SC),AITC,0,Graduate,Rs 7537910,~ 75 Lacs+,Rs 0,~
236,Asish Banerjee,RAMPURHAT,AITC,0,Doctorate,Rs 15959415,~ 1 Crore+,Rs 0,~
251,Swapan Bouri,SALTORA (SC),AITC,0,10th Pass,Rs 2448594,~ 24 Lacs+,Rs 0,~
256,Tapan Dasgupta,SAPTAGRAM,AITC,0,Graduate,Rs 5649290,~ 56 Lacs+,Rs 2059137,~ 20 Lacs+
259,Shashi Panja,SHYAMPUKUR,AITC,0,Graduate Professional,Rs 56803745,~ 5 Crore+,Rs 0,~
260,Kalipada Mandal,SHYAMPUR,AITC,0,Graduate Professional,Rs 4111066,~ 41 Lacs+,Rs 0,~
273,Samir Chakraborty,TALDANGRA,AITC,0,Graduate,Rs 405923000,~ 40 Crore+,Rs 0,~
264,Hiten Barman,SITALKUCHI (SC),AITC,0,12th Pass,Rs 2611132,~ 26 Lacs+,Rs 0,~
265,Ajit Ray,SONAMUKHI (SC),CPI(M),0,10th Pass,Rs 124797,~ 1 Lacs+,Rs 0,~
266,Jiban Mukhopadhyay,SONARPUR DAKSHIN,AITC,0,Post Graduate,Rs 75317728,~ 7 Crore+,Rs 0,~
267,Firdousi Begum,SONARPUR UTTAR,AITC,0,12th Pass,Rs 14990760,~ 1 Crore+,Rs 0,~
268,Dr. Sudipta Roy,SREERAMPUR,AITC,0,Post Graduate,Rs 49152747,~ 4 Crore+,Rs 0,~
269,Isha Khan Chodhury,SUJAPUR,INC,0,Graduate,Rs 2240713,~ 22 Lacs+,Rs 0,~
270,Asok Kumar Chattopadhyay,SURI,AITC,0,Post Graduate,Rs 135436705,~ 13 Crore+,Rs 43106920,~ 4 Crore+
254,Sital Kumar Sardar,SANKRAIL (SC),AITC,0,12th Pass,Rs 8166866,~ 81 Lacs+,Rs 456024,~ 4 Lacs+
189,Usha Rani Mondal,MINAKHAN (SC),AITC,0,8th Pass,Rs 6410030,~ 64 Lacs+,Rs 0,~
276,Rachhpal Singh,TARAKESWAR,AITC,0,Graduate Professional,Rs 8670537,~ 86 Lacs+,Rs 7936089,~ 79 Lacs+
233,Sabyasachi Dutta,RAJARHAT NEW TOWN,AITC,0,Graduate Professional,Rs 23579034,~ 2 Crore+,Rs 788485,~ 7 Lacs+
191,Sabina Yeasmin,MOTHABARI,INC,0,Post Graduate,Rs 15068457,~ 1 Crore+,Rs 0,~
192,Sangram Kumar Dolai,MOYNA,AITC,0,Post Graduate,Rs 8183915,~ 81 Lacs+,Rs 181067,~ 1 Lacs+
195,Pundarikakshya Saha,NABADWIP,AITC,0,Graduate,Rs 75423,~ 75 Thou+,Rs 0,~
197,Sukra Munda,NAGRAKATA (ST),AITC,0,12th Pass,Rs 353728,~ 3 Lacs+,Rs 112000,~ 1 Lacs+
200,Moinuddin Shams,NALHATI,AITC,0,Post Graduate,Rs 32635702,~ 3 Crore+,Rs 400000,~ 4 Lacs+
201,Sukumar De,NANDAKUMAR,AITC,0,Graduate,Rs 2238536,~ 22 Lacs+,Rs 0,~
203,Shyamali Pradhan,NANOOR (SC),CPI(M),0,Graduate,Rs 594838,~ 5 Lacs+,Rs 0,~
204,Prodyut Kumar Ghosh,NARAYANGARH,AITC,0,Graduate Professional,Rs 7663504,~ 76 Lacs+,Rs 0,~
205,Rabindra Nath Ghosh,NATABARI,AITC,0,Graduate,Rs 55504333,~ 5 Crore+,Rs 2541075,~ 25 Lacs+
206,Dulal Murmu,NAYAGRAM (ST),AITC,0,Post Graduate,Rs 4544747,~ 45 Lacs+,Rs 148179,~ 1 Lacs+
207,Madhusudan Ghose,NOAPARA,INC,0,12th Pass,Rs 18355188,~ 1 Crore+,Rs 0,~
234,Khageswar Roy,RAJGANJ,AITC,0,12th Pass,Rs 4573211,~ 45 Lacs+,Rs 457282,~ 4 Lacs+
209,Arup Kumar Khan,ONDA,AITC,0,Graduate,Rs 3134794,~ 31 Lacs+,Rs 0,~
214,Nirmal Ghosh,PANIHATI,AITC,0,Graduate,Rs 4915472,~ 49 Lacs+,Rs 0,~
217,Umapada Bauri,PARA (SC),AITC,0,Graduate,Rs 2094819,~ 20 Lacs+,Rs 0,~
218,Jyotirmoy Kar,PATASHPUR,AITC,0,Post Graduate,Rs 8716354,~ 87 Lacs+,Rs 0,~
220,Sunil Chandra Tirkey,PHANSIDEWA (ST),INC,0,Graduate,Rs 5475920,~ 54 Lacs+,Rs 0,~
221,Saumen Kumar Mahapatra,PINGLA,AITC,0,Doctorate,Rs 78338249,~ 7 Crore+,Rs 0,~
223,Pradip Kumar Saha,PURBASTHALI UTTAR,CPI(M),0,Post Graduate,Rs 9143147,~ 91 Lacs+,Rs 590000,~ 5 Lacs+
224,Md. Nuruzzaman,PURSURAH,AITC,0,Post Graduate,Rs 9780294,~ 97 Lacs+,Rs 500000,~ 5 Lacs+
227,Purnachandra Bauri,RAGHUNATHPUR (SC),AITC,0,10th Pass,Rs 4663247,~ 46 Lacs+,Rs 0,~
228,Debasree Roy,RAIDIGHI,AITC,0,12th Pass,Rs 4930893,~ 49 Lacs+,Rs 0,~
231,Birendra Nath Tudu,RAIPUR (ST),AITC,0,10th Pass,Rs 1951753,~ 19 Lacs+,Rs 0,~
232,Purnendu Basu,RAJARHAT GOPALPUR,AITC,0,Graduate,Rs 3236195,~ 32 Lacs+,Rs 0,~
278,Aroop Biswas,TOLLYGUNJ,AITC,0,Graduate,Rs 8558365,~ 85 Lacs+,Rs 0,~
113,Brajamohan Majumder,HOWRAH DAKSHIN,AITC,0,Post Graduate,Rs 5736176,~ 57 Lacs+,Rs 0,~
136,Dr. Ramendra Nath Biswas,KALYANI (SC),AITC,0,Doctorate,Rs 11087283,~ 1 Crore+,Rs 0,~
111,Sk.nurul Islam,HAROA,AITC,0,12th Pass,Rs 7957321,~ 79 Lacs+,Rs 938508,~ 9 Lacs+
