Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
103,Dr. Khagendra Nath Mahata,GOPIBALLAVPUR,AITC,0,Graduate Professional,Rs 8871800,~ 88 Lacs+,Rs 804081,~ 8 Lacs+
89,Tarun Kumar Maity,EGRA,AITC,0,Post Graduate,Rs 8582414,~ 85 Lacs+,Rs 5550786,~ 55 Lacs+
86,Chandrima Bhattacharya,DUM DUM UTTAR,AITC,0,Graduate Professional,Rs 6088968,~ 60 Lacs+,Rs 0,~
20,Rajib Lochan Saren,BANDWAN (ST),AITC,0,Graduate Professional,Rs 8793233,~ 87 Lacs+,Rs 2034628,~ 20 Lacs+
23,Niladri Sekhar Dana,BANKURA,BJP,0,12th Pass,Rs 19001000,~ 1 Crore+,Rs 0,~
9,Abdur Rahim Quazi,BADURIA,AITC,1,Post Graduate,Rs 4370976,~ 43 Lacs+,Rs 0,~
208,Partha Bhowmick,NAIHATI,AITC,1,Post Graduate,Rs 25954078,~ 2 Crore+,Rs 6356074,~ 63 Lacs+
207,Puna Bhengra,NAGRAKATA (ST),BJP,1,10th Pass,Rs 1325061,~ 13 Lacs+,Rs 0,~
2,Rafiqur Rahaman,AMDANGA,AITC,1,Graduate,Rs 11536882,~ 1 Crore+,Rs 822000,~ 8 Lacs+
201,Yeasmin Sabina,MOTHABARI,AITC,1,Post Graduate,Rs 18813766,~ 1 Crore+,Rs 344315,~ 3 Lacs+
57,Bankim Chandra Ghosh,CHAKDAHA,BJP,1,12th Pass,Rs 10384456,~ 1 Crore+,Rs 50000,~ 50 Thou+
3,Subrata Mondal,GOSABA : BYE ELECTION ON 30-10-2021,AITC,1,Graduate,Rs 7480536,~ 74 Lacs+,Rs 1280180,~ 12 Lacs+
53,Ashok Kumar Deb,BUDGE BUDGE,AITC,1,Graduate Professional,Rs 2381783,~ 23 Lacs+,Rs 0,~
191,Anandamay Barman,MATIGARA-NAXALBARI (SC),BJP,1,Post Graduate,Rs 11685645,~ 1 Crore+,Rs 1000000,~ 10 Lacs+
287,Tapas Kumar Saha,TEHATTA,AITC,1,Graduate,Rs 5542364,~ 55 Lacs+,Rs 0,~
4,Madhusudan Bag,ARAMBAG (SC),BJP,1,Post Graduate,Rs 4951884,~ 49 Lacs+,Rs 2043796,~ 20 Lacs+
24,Bidhan Upadhyay,BARABANI,AITC,1,12th Pass,Rs 47953001,~ 4 Crore+,Rs 17816106,~ 1 Crore+
212,Adhikari Suvendu,NANDIGRAM,BJP,1,Post Graduate,Rs 10552749,~ 1 Crore+,Rs 0,~
255,Rabiul Alam Chowdhury,REJINAGAR,AITC,1,Graduate,Rs 14337361,~ 1 Crore+,Rs 0,~
32,Bivas Sardar (Vobo),BARUIPUR PURBA (SC),AITC,1,12th Pass,Rs 7692159,~ 76 Lacs+,Rs 2438000,~ 24 Lacs+
263,Sukumar Mahata,SANDESHKHALI (ST),AITC,1,Post Graduate,Rs 1236039,~ 12 Lacs+,Rs 0,~
244,Khageswar Roy,RAJGANJ (SC),AITC,1,12th Pass,Rs 6363026,~ 63 Lacs+,Rs 820178,~ 8 Lacs+
238,Aloke Jaldata,RAIDIGHI,AITC,1,Graduate Professional,Rs 33522682,~ 3 Crore+,Rs 7483333,~ 74 Lacs+
236,Akhruzzaman,RAGHUNATHGANJ,AITC,1,Graduate Professional,Rs 22269566,~ 2 Crore+,Rs 49777,~ 49 Thou+
281,Emani Biswas,SUTI,AITC,1,Graduate,Rs 116528350,~ 11 Crore+,Rs 25774415,~ 2 Crore+
232,Swapan Debnath,PURBASTHALI DAKSHIN,AITC,1,Post Graduate,Rs 9682873,~ 96 Lacs+,Rs 0,~
272,Becharam Manna,SINGUR,AITC,1,10th Pass,Rs 21218659,~ 2 Crore+,Rs 1368413,~ 13 Lacs+
41,Rabindra Nath Maity,BHAGABANPUR,BJP,1,12th Pass,Rs 7375000,~ 73 Lacs+,Rs 2500000,~ 25 Lacs+
273,Jagadish Chandra Barma Basunia,SITAI (SC),AITC,1,Graduate Professional,Rs 15190525,~ 1 Crore+,Rs 0,~
274,Baren Chandra Barman,SITALKUCHI (SC),BJP,1,Post Graduate,Rs 6076622,~ 60 Lacs+,Rs 1143178,~ 11 Lacs+
12,Arunava Sen (Raja),BAGNAN,AITC,1,12th Pass,Rs 6696240,~ 66 Lacs+,Rs 0,~
51,Dilip Mondal,BISHNUPUR (SC),AITC,1,12th Pass,Rs 15903820,~ 1 Crore+,Rs 5505267,~ 55 Lacs+
231,Ajit Maity,PINGLA,AITC,1,12th Pass,Rs 8575000,~ 85 Lacs+,Rs 0,~
245,Akhil Giri,RAMNAGAR,AITC,1,12th Pass,Rs 7091258,~ 70 Lacs+,Rs 0,~
104,Jayanta Naskar,GOSABA (SC),AITC,1,8th Pass,Rs 21111705,~ 2 Crore+,Rs 0,~
100,Sital Kapat,GHATAL (SC),BJP,1,12th Pass,Rs 409916,~ 4 Lacs+,Rs 0,~
94,Manirul Islam,FARAKKA,AITC,1,10th Pass,Rs 30364772,~ 3 Crore+,Rs 25536778,~ 2 Crore+
115,Satyajit Barman,HEMTABAD (SC),AITC,1,Post Graduate,Rs 32443993,~ 3 Crore+,Rs 8079942,~ 80 Lacs+
161,Kajal Sinha,KHARDAHA,AITC,1,12th Pass,Rs 13101468,~ 1 Crore+,Rs 1606814,~ 16 Lacs+
162,Ashis Marjit,KHARGRAM (SC),AITC,1,12th Pass,Rs 5082686,~ 50 Lacs+,Rs 0,~
164,Firhad Hakim,KOLKATA PORT,AITC,1,Graduate,Rs 133424256,~ 13 Crore+,Rs 8379885,~ 83 Lacs+
165,Ashis Kumar Biswas,KRISHNAGANJ (SC),BJP,1,12th Pass,Rs 8600365,~ 86 Lacs+,Rs 0,~
127,Dr. Pradip Kumar Barma,JALPAIGURI (SC),AITC,1,Graduate Professional,Rs 28661907,~ 2 Crore+,Rs 1847000,~ 18 Lacs+
98,Uttara Singha Hazra,GARBETA,AITC,1,Graduate,Rs 17710285,~ 1 Crore+,Rs 6348523,~ 63 Lacs+
99,Chinmoy Deb Barman,GAZOLE (SC),BJP,1,Post Graduate,Rs 4907302,~ 49 Lacs+,Rs 106402,~ 1 Lacs+
171,Toraf Hossain Mandal,KUMARGANJ,AITC,1,Graduate,Rs 8537020,~ 85 Lacs+,Rs 0,~
79,Bishnu Pada Ray,DHUPGURI (SC),BJP,1,10th Pass,Rs 15602876,~ 1 Crore+,Rs 0,~
158,Nabin Chandra Bag,KHANDAGHOSH (SC),AITC,1,Post Graduate,Rs 3009000,~ 30 Lacs+,Rs 0,~
130,Snehasis Chakraborty,JANGIPARA,AITC,1,Post Graduate,Rs 4780255,~ 47 Lacs+,Rs 211859,~ 2 Lacs+
174,Rekha Roy,KUSHMANDI (SC),AITC,1,10th Pass,Rs 1673447,~ 16 Lacs+,Rs 338041,~ 3 Lacs+
122,Mosaraf Hussen,ITAHAR,AITC,1,12th Pass,Rs 31382969,~ 3 Crore+,Rs 1400000,~ 14 Lacs+
176,Ali Mohammad,LALGOLA,AITC,1,Post Graduate,Rs 41241096,~ 4 Crore+,Rs 2452000,~ 24 Lacs+
151,Atin Ghosh,KASHIPUR-BELGACHHIA,AITC,1,Graduate,Rs 29948349,~ 2 Crore+,Rs 1964606,~ 19 Lacs+
149,Ahmed Javed Khan,KASBA,AITC,1,Graduate,Rs 323301926,~ 32 Crore+,Rs 415101490,~ 41 Crore+
184,Abdur Rahim Boxi,MALATIPUR,AITC,1,12th Pass,Rs 43403756,~ 4 Crore+,Rs 1077799,~ 10 Lacs+
142,Ambika Roy,KALYANI (SC),BJP,1,Graduate Professional,Rs 8758083,~ 87 Lacs+,Rs 0,~
109,Niamot Sheikh,HARIHARPARA,AITC,1,8th Pass,Rs 25184756,~ 2 Crore+,Rs 993268,~ 9 Lacs+
69,Asit Mazumder (Tapan),CHUNCHURA,AITC,1,Graduate Professional,Rs 27554145,~ 2 Crore+,Rs 0,~
271,Sankar Ghosh,SILIGURI,BJP,2,Doctorate,Rs 15433178,~ 1 Crore+,Rs 2839918,~ 28 Lacs+
141,Deboprasad Bag (Poltu),KALNA (SC),AITC,2,10th Pass,Rs 21049240,~ 2 Crore+,Rs 1477487,~ 14 Lacs+
225,Phiroja Bibi,PANSKURA PASCHIM,AITC,2,8th Pass,Rs 2031347,~ 20 Lacs+,Rs 0,~
157,Susanta Ghosh,KHANAKUL,BJP,2,10th Pass,Rs 3525746,~ 35 Lacs+,Rs 150000,~ 1 Lacs+
18,Subrata Mukherjee,BALLYGUNGE,AITC,2,Post Graduate,Rs 15076361,~ 1 Crore+,Rs 0,~
136,Manturam Pakhira,KAKDWIP,AITC,2,10th Pass,Rs 6707089,~ 67 Lacs+,Rs 0,~
243,Tapash Chatterjee,RAJARHAT NEW TOWN,AITC,2,Graduate,Rs 37520118,~ 3 Crore+,Rs 0,~
234,Biman Ghosh,PURSURAH,BJP,2,Graduate,Rs 210379,~ 2 Lacs+,Rs 0,~
229,Samir Kumar Jana,PATHARPRATIMA,AITC,2,Post Graduate,Rs 9524413,~ 95 Lacs+,Rs 550000,~ 5 Lacs+
21,Swapan Majumder,BANGAON DAKSHIN (SC),BJP,2,8th Pass,Rs 21160258,~ 2 Crore+,Rs 6184828,~ 61 Lacs+
35,Rafikul Islam Mondal,BASIRHAT UTTAR,AITC,2,Post Graduate,Rs 12192432,~ 1 Crore+,Rs 0,~
82,Kalyan Ghosh,DOMJUR,AITC,2,12th Pass,Rs 50479458,~ 5 Crore+,Rs 1300000,~ 13 Lacs+
90,Sreerupa Mitra Chaudhury(Nirbhoy Didi),ENGLISH BAZAR,BJP,2,Post Graduate,Rs 1593400,~ 15 Lacs+,Rs 447358,~ 4 Lacs+
84,Anup Kumar Saha,DUBRAJPUR (SC),BJP,2,Post Graduate,Rs 440957,~ 4 Lacs+,Rs 0,~
96,Nepal Ghorui,GALSI (SC),AITC,2,Graduate,Rs 2476405,~ 24 Lacs+,Rs 259616,~ 2 Lacs+
252,Abdul Soumik Hossain,RANINAGAR,AITC,2,12th Pass,Rs 100070941,~ 10 Crore+,Rs 18869480,~ 1 Crore+
15,Manoranjan Bapari,BALAGARH (SC),AITC,2,Illiterate,Rs 1489175,~ 14 Lacs+,Rs 0,~
60,Nihar Ranjan Ghosh,CHANCHAL,AITC,2,12th Pass,Rs 9930903,~ 99 Lacs+,Rs 0,~
2,Udayan Guha,DINHATA : BYE ELECTION ON 30-10-2021,AITC,2,Graduate,Rs 53274492,~ 5 Crore+,Rs 352691,~ 3 Lacs+
196,Madhusudan Bhattacharya,MEMARI,AITC,2,Post Graduate,Rs 7837916,~ 78 Lacs+,Rs 0,~
190,Sushil Barman,MATHABHANGA (SC),BJP,2,Graduate,Rs 1012680,~ 10 Lacs+,Rs 0,~
197,Abdul Khaleque Molla,METIABURUZ,AITC,2,10th Pass,Rs 8345642,~ 83 Lacs+,Rs 229810,~ 2 Lacs+
68,Bandyopadhyay Nayna,CHOWRANGEE,AITC,2,12th Pass,Rs 70015752,~ 7 Crore+,Rs 133300,~ 1 Lacs+
293,Dr. Nirmal Maji,ULUBERIA UTTAR (SC),AITC,2,Post Graduate,Rs 8435790,~ 84 Lacs+,Rs 381835,~ 3 Lacs+
5,Agnimitra Paul,ASANSOL DAKSHIN,BJP,2,Graduate,Rs 23964257,~ 2 Crore+,Rs 11971270,~ 1 Crore+
187,Joydeb Halder,MANDIRBAZAR (SC),AITC,2,10th Pass,Rs 3585560,~ 35 Lacs+,Rs 0,~
170,Ajay Kumar Poddar,KULTI,BJP,2,Graduate Professional,Rs 10513139,~ 1 Crore+,Rs 633822,~ 6 Lacs+
209,Kallol Khan,NAKASHIPARA,AITC,2,12th Pass,Rs 2508032,~ 25 Lacs+,Rs 860432,~ 8 Lacs+
182,Tilak Kumar Chakraborty,MAHISHADAL,AITC,2,Graduate,Rs 7316584,~ 73 Lacs+,Rs 0,~
160,Hiranmoy Chattopadhyaya,KHARAGPUR SADAR,BJP,2,Graduate,Rs 43710836,~ 4 Crore+,Rs 6093221,~ 60 Lacs+
139,Nasiruddin Ahamed (Lal),KALIGANJ,AITC,2,Post Graduate,Rs 26444563,~ 2 Crore+,Rs 0,~
95,Subrata Thakur,GAIGHATA (SC),BJP,2,Others,Rs 5614200,~ 56 Lacs+,Rs 0,~
73,Bikram Chandra Pradhan,DANTAN,AITC,2,12th Pass,Rs 1691439,~ 16 Lacs+,Rs 101437,~ 1 Lacs+
110,Asim Kumar Sarkar,HARINGHATA (SC),BJP,2,Literate,Rs 14646099,~ 1 Crore+,Rs 1623358,~ 16 Lacs+
138,Soumen Roy,KALIAGANJ (SC),BJP,3,Graduate,Rs 5917259,~ 59 Lacs+,Rs 493775,~ 4 Lacs+
260,Srikanta Mahata,SALBONI,AITC,3,Graduate,Rs 8214301,~ 82 Lacs+,Rs 2763867,~ 27 Lacs+
16,Baneswar Mahato,BALARAMPUR,BJP,3,12th Pass,Rs 3030000,~ 30 Lacs+,Rs 0,~
262,Amirul Islam,SAMSERGANJ,AITC,3,Graduate,Rs 10727391,~ 1 Crore+,Rs 287362,~ 2 Lacs+
