Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
120,Nirmal Kumar Dhara,INDUS (SC),BJP,0,8,1700,~ 1 Thou+,0,~
121,Abdul Karim Chowdhary,ISLAMPUR,AITC,4,4,11217478,~ 1 Crore+,1451895,~ 14 Lacs+
122,Mosaraf Hussen,ITAHAR,AITC,1,4,31382969,~ 3 Crore+,1400000,~ 14 Lacs+
123,Debabrata Majumdar (Malay),JADAVPUR,AITC,0,7,10282014,~ 1 Crore+,0,~
124,Sitanath Ghosh,JAGATBALLAVPUR,AITC,0,4,23911229,~ 2 Crore+,0,~
125,Somenath Shyam Ichini,JAGATDAL,AITC,6,6,24869715,~ 2 Crore+,1038862,~ 10 Lacs+
126,Abdur Razzak,JALANGI,AITC,0,8,8789008,~ 87 Lacs+,0,~
127,Dr. Pradip Kumar Barma,JALPAIGURI (SC),AITC,1,7,28661907,~ 2 Crore+,1847000,~ 18 Lacs+
128,Alok Kumar Majhi,JAMALPUR (SC),AITC,5,6,1745440,~ 17 Lacs+,0,~
129,Hareram Singh,JAMURIA,AITC,0,4,14634363,~ 1 Crore+,0,~
130,Snehasis Chakraborty,JANGIPARA,AITC,1,8,4780255,~ 47 Lacs+,211859,~ 2 Lacs+
131,Jakir Hossain,JANGIPUR,AITC,0,3,672290370,~ 67 Crore+,62303203,~ 6 Crore+
132,Biswanath Das,JAYNAGAR (SC),AITC,0,8,10789846,~ 1 Crore+,1458616,~ 14 Lacs+
133,Birbaha Hansda,JHARGRAM,AITC,0,6,306215,~ 3 Lacs+,0,~
134,Vivek Gupta,JORASANKO,AITC,0,6,319943060,~ 31 Crore+,0,~
135,Nara Hari Mahato,JOYPUR,BJP,3,8,11727000,~ 1 Crore+,200000,~ 2 Lacs+
136,Manturam Pakhira,KAKDWIP,AITC,2,3,6707089,~ 67 Lacs+,0,~
137,Bishal Lama,KALCHINI (ST),BJP,6,6,859230,~ 8 Lacs+,360750,~ 3 Lacs+
138,Soumen Roy,KALIAGANJ (SC),BJP,3,6,5917259,~ 59 Lacs+,493775,~ 4 Lacs+
139,Nasiruddin Ahamed (Lal),KALIGANJ,AITC,2,8,26444563,~ 2 Crore+,0,~
140,Ruden Sada Lepcha,KALIMPONG,IND,3,6,182364367,~ 18 Crore+,121037237,~ 12 Crore+
141,Deboprasad Bag (Poltu),KALNA (SC),AITC,2,3,21049240,~ 2 Crore+,1477487,~ 14 Lacs+
142,Ambika Roy,KALYANI (SC),BJP,1,7,8758083,~ 87 Lacs+,0,~
143,Madan Mitra,KAMARHATI,AITC,6,6,27619847,~ 2 Crore+,1663237,~ 16 Lacs+
144,Apurba Sarkar (David),KANDI,AITC,4,4,31539163,~ 3 Crore+,0,~
145,Arup Kumar Das,KANTHI DAKSHIN,BJP,0,8,10312786,~ 1 Crore+,0,~
146,Sumita Sinha,KANTHI UTTAR,BJP,0,6,41410667,~ 4 Crore+,2653018,~ 26 Lacs+
147,Goutam Paul,KARANDIGHI,AITC,3,4,14000281,~ 1 Crore+,0,~
148,Bimalendu Sinha Roy,KARIMPUR,AITC,0,8,20658032,~ 2 Crore+,391624,~ 3 Lacs+
149,Ahmed Javed Khan,KASBA,AITC,1,6,323301926,~ 32 Crore+,415101490,~ 41 Crore+
150,Kamalakanta Hansda,KASHIPUR,BJP,0,8,4502009,~ 45 Lacs+,1300000,~ 13 Lacs+
