2,ASIMA CHAUDHURI,Manikchak,CPM,0,GraduateProfessional,Rs 3937735,~ 39 Lacs+,Rs 0,~
3,BHARATI MUKHERJEE,Haripal,CPM,0,GraduateProfessional,Rs 925315,~ 9 Lacs+,Rs 0,~
4,BILASIBALA SAHIS .,Para,CPM,0,GraduateProfessional,Rs 577270,~ 5 Lacs+,Rs 0,~
5,CHANDANA GHOSHDOSTIDAR,Falta,CPM,0,PostGraduate,Rs 151818,~ 1 Lacs+,Rs 0,~
6,CHANDRA LEKHA BAG,Udaynarayanpur,CPM,0,Graduate,Rs 1296010,~ 12 Lacs+,Rs 187000,~ 1 Lacs+
7,CHOWDHURY CHAKRABORTY BULA,Nandanpur,CPM,0,TenthPass,Rs 7959500,~ 79 Lacs+,Rs 0,~
8,CHUNIBALA HANSDA,Binpur,JKP(N),1,TenthPass,Rs 1125365,~ 11 Lacs+,Rs 0,~
9,DEBLINA HEMBRAM,Ranibandh,CPM,0,EighthPass,Rs 310836,~ 3 Lacs+,Rs 13232,~ 13 Thou+
10,DEEPA DASMUNSI,Goalpokhar,INC,0,PostGraduate,Rs 13321540,~ 1 Crore+,Rs 0,~
11,DOLI ROY,Panchla,AIFB,0,PostGraduate,Rs 304500,~ 3 Lacs+,Rs 0,~
12,DR. BITHIKA MONDAL,Barasat,AIFB,0,Doctorate,Rs 425000,~ 4 Lacs+,Rs 375000,~ 3 Lacs+
13,DR. NIRJHARINI CHAKRABARTY,Bijpur,CPM,0,PostGraduate,Rs 900000,~ 9 Lacs+,Rs 489848,~ 4 Lacs+
14,KALPANA KOLEY,Kotulpur,CPM,0,TenthPass,Rs 203000,~ 2 Lacs+,Rs 0,~
15,KANIKA GANGULY,Bally,CPM,0,PostGraduate,Rs 3069750,~ 30 Lacs+,Rs 0,~
16,KUMARI KUJUR,Madarihat,RSP,0,TenthPass,Rs 664868,~ 6 Lacs+,Rs 77942,~ 77 Thou+
17,KUMKUM CHAKRABORTI,Behala East,CPM,0,PostGraduate,Rs 2026591,~ 20 Lacs+,Rs 471000,~ 4 Lacs+
18,MAFUJA KHATUN,Kumarganj,CPM,0,Graduate,Rs 209236,~ 2 Lacs+,Rs 0,~
19,MALA SAHA,Belgachia West,AITC,0,PostGraduate,Rs 1415519,~ 14 Lacs+,Rs 235070,~ 2 Lacs+
20,NABANITA MUKHERJEE,Labhpur,CPM,0,TwelfthPass,Rs 64000,~ 64 Thou+,Rs 0,~
21,REKHA GOSWAMI,Dum Dum,CPM,0,Graduate,Rs 271481,~ 2 Lacs+,Rs 0,~
22,RUBI NOOR,Suzapur,INC,0,TenthPass,Rs 10728419,~ 1 Crore+,Rs 0,~
23,RUPA BAGCHI,Manicktola,CPM,0,PostGraduate,Rs 62201,~ 62 Thou+,Rs 0,~
24,SABITRI MITRA,Araidanga,INC,0,TenthPass,Rs 1647179,~ 16 Lacs+,Rs 0,~
25,SADHANA MALLIK,Mangalkot,CPM,0,TenthPass,Rs 411619,~ 4 Lacs+,Rs 0,~
26,SAKUNTALA PAIK,Kulpi,CPM,0,GraduateProfessional,Rs 619962,~ 6 Lacs+,Rs 461887,~ 4 Lacs+
27,SAMYA PYARI MAHATO,Manbazar,CPM,0,TwelfthPass,Rs 967989,~ 9 Lacs+,Rs 0,~
28,SANDHYA BHATTACHARYA,Memari,CPM,0,PostGraduate,Rs 2330885,~ 23 Lacs+,Rs 0,~
29,SHANTA CHHETRI,Kurseong,GNLF,0,PostGraduate,Rs 917325,~ 9 Lacs+,Rs 11132,~ 11 Thou+
30,SIKHA CHOWDHURY (MITRA),Sealdah : Bye-election on 18-08-2009,AITC,0,Graduate,Rs 15235986,~ 1 Crore+,Rs 500000,~ 5 Lacs+
31,SONALI GUHA (BOSE),Satgachia,AITC,1,Graduate,Rs 973979,~ 9 Lacs+,Rs 0,~
32,SUKHMOITH (PITING) ORAON,Nagrakata,CPM,0,FifthPass,Rs 84283,~ 84 Thou+,Rs 0,~
33,SUSMITA BISWAS,Barjora,CPM,0,Graduate,Rs 276500,~ 2 Lacs+,Rs 0,~
34,TAMALIKA PANDA SETH,Mahishadal,CPM,0,Graduate,Rs 952456,~ 9 Lacs+,Rs 0,~
35,UMA RANI BOURI,Raghunathpur,CPM,0,TwelfthPass,Rs 464659,~ 4 Lacs+,Rs 0,~
