Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
161,SWADESH PATRA,Khajuri,WBSP,0,3,Rs 364450,~ 3 Lacs+,Rs 120,~ 1 Hund+
162,BANSHI BADAN MAITRA,Khanakul,CPM,0,8,Rs 578660,~ 5 Lacs+,Rs 0,~
163,PRASANTA MAJHI,Khandaghosh,CPM,0,8,Rs 179415,~ 1 Lacs+,Rs 30062,~ 30 Thou+
164,HAQUE  NAZMUL,Kharagpur Rural,CPM,0,6,Rs 506900,~ 5 Lacs+,Rs 120072,~ 1 Lacs+
165,GYAN SINGH SOHANPAL,Kharagpur Town,INC,0,3,Rs 587989,~ 5 Lacs+,Rs 0,~
167,ASIM KUMAR DASGUPTA,Khardah,CPM,0,10,Rs 3081397,~ 30 Lacs+,Rs 0,~
169,KALPANA KOLEY,Kotulpur,CPM,0,3,Rs 203000,~ 2 Lacs+,Rs 0,~
170,FAZLUL KARIM,Kranti,CPM,0,3,Rs 229516,~ 2 Lacs+,Rs 30000,~ 30 Thou+
171,BINAY KRISHNA BISWAS,Krishnaganj,CPM,0,7,Rs 362838,~ 3 Lacs+,Rs 0,~
172,GHOSH SUBINAY (BHAJAN),Krishnagar East,CPM,0,7,Rs 24418,~ 24 Thou+,Rs 0,~
173,ASOKE BANERJEE,Krishnagar West,CPM,0,7,Rs 2065812,~ 20 Lacs+,Rs 0,~
176,UJJAL CHATTERJEE,Kulti,AITC,0,6,Rs 201970,~ 2 Lacs+,Rs 0,~
211,RANJIT KUNDU,Naihati,CPM,0,6,Rs 2392379,~ 23 Lacs+,Rs 0,~
212,KALLOL KHAN,Nakashipara,AITC,0,4,Rs 6121,~ 6 Thou+,Rs 0,~
213,DIPAK CHATTERJEE,Nalhati,AIFB,0,3,Rs 823104,~ 8 Lacs+,Rs 10925,~ 10 Thou+
258,ABANI ROY,Sandeshkhali,CPM,0,6,Rs 1157967,~ 11 Lacs+,Rs 0,~
259,SITAL KUMAR SARDAR,Sankrail,AITC,0,4,Rs 1034682,~ 10 Lacs+,Rs 0,~
260,AJOY DEY,Santipur,INC,0,6,Rs 949418,~ 9 Lacs+,Rs 0,~
262,SOMENDRA NATH MITRA,Sealdah,INC,0,7,Rs 2280757,~ 22 Lacs+,Rs 32911,~ 32 Thou+
263,SIKHA CHOWDHURY (MITRA),Sealdah : Bye-election on 18-08-2009,AITC,0,6,Rs 15235986,~ 1 Crore+,Rs 500000,~ 5 Lacs+
264,DR. RATNA DE (NAG),Serampore,AITC,0,7,Rs 3946000,~ 39 Lacs+,Rs 0,~
265,JIBAN PRAKASH SAHA,Shyampukur,AIFB,0,4,Rs 810569,~ 8 Lacs+,Rs 0,~
266,KALI PADA MANDAL,Shyampur,AITC,0,7,Rs 1300755,~ 13 Lacs+,Rs 200,~ 2 Hund+
267,ASOK BHATTACHARYA,Siliguri,CPM,0,6,Rs 1065259,~ 10 Lacs+,Rs 0,~
268,RABINDRANATH BHATTACHARJEE,Singur,AITC,0,8,Rs 859660,~ 8 Lacs+,Rs 0,~
269,DR. MD. FAZLE HAQUE,Sitai,INC,0,8,Rs 213068,~ 2 Lacs+,Rs 43444,~ 43 Thou+
271,NIRESH BAGDI,Sonamukhi,CPM,0,6,Rs 51500,~ 51 Thou+,Rs 226000,~ 2 Lacs+
272,SHYAMAL NASKAR,Sonarpur,CPM,0,6,Rs 1071295,~ 10 Lacs+,Rs 0,~
273,TAPAN ROY,Suri,CPM,0,8,Rs 1846583,~ 18 Lacs+,Rs 0,~
274,NITYANANDA BERA,Sutahata,CPM,0,6,Rs 884389,~ 8 Lacs+,Rs 0,~
275,JANE ALAM MIAN,Suti,RSP,0,6,Rs 1216384,~ 12 Lacs+,Rs 0,~
276,RUBI NOOR,Suzapur,INC,0,3,Rs 10728419,~ 1 Crore+,Rs 0,~
278,MOSTAFA BIN QUASEM,Swarupnagar,CPM,0,8,Rs 1742700,~ 17 Lacs+,Rs 0,~
279,MANORANJAN PATRA,Taldangra,CPM,0,4,Rs 803507,~ 8 Lacs+,Rs 40800,~ 40 Thou+
280,DEBESH DAS,Taltola,CPM,0,10,Rs 1682729,~ 16 Lacs+,Rs 53435,~ 53 Thou+
281,MITRA JAGANNATH,Tamluk,CPI,0,8,Rs 3885250,~ 38 Lacs+,Rs 0,~
283,PRATIM CHATTERJEE,Tarakeswar,IND,0,6,Rs 4247840,~ 42 Lacs+,Rs 0,~
284,DR. PRAVIN KUMAR,Titagarh,CPM,0,8,Rs 5101330,~ 51 Lacs+,Rs 100000,~ 1 Lacs+
285,AROOP BISWAS,Tollygunge,AITC,0,6,Rs 1644760,~ 16 Lacs+,Rs 0,~
286,CHANDRA LEKHA BAG,Udaynarayanpur,CPM,0,6,Rs 1296010,~ 12 Lacs+,Rs 187000,~ 1 Lacs+
287,MADAN BAURI,Ukhra,CPM,0,3,Rs 1072435,~ 10 Lacs+,Rs 0,~
288,MOHAN MONDAL,Uluberia North,CPM,0,6,Rs 205648,~ 2 Lacs+,Rs 0,~
289,RABINDRA GHOSH,Uluberia South,AIFB,0,3,Rs 2082068,~ 20 Lacs+,Rs 0,~
290,PROF. DR. SRUTINATH PRAHARAJ,Uttarpara,CPM,0,10,Rs 1394612,~ 13 Lacs+,Rs 0,~
256,PARIKSHIT LET,Sagardighi,CPM,0,3,Rs 141346,~ 1 Lacs+,Rs 0,~
254,MANAS RANJAN BHUNIA,Sabang,INC,0,7,Rs 12293607,~ 1 Crore+,Rs 0,~
253,SAILEN SARKAR,Ratua,CPM,0,6,Rs 5040768,~ 50 Lacs+,Rs 0,~
250,DEBLINA HEMBRAM,Ranibandh,CPM,0,2,Rs 310836,~ 3 Lacs+,Rs 13232,~ 13 Thou+
214,CHOWDHURY CHAKRABORTY BULA,Nandanpur,CPM,0,3,Rs 7959500,~ 79 Lacs+,Rs 0,~
215,ILLIAS MAHAMMAD SK.,Nandigram,CPI,0,6,Rs 493632,~ 4 Lacs+,Rs 7018,~ 7 Thou+
218,SURJYA KANTA MISHRA,Narayangarh,CPM,0,7,Rs 817818,~ 8 Lacs+,Rs 185164,~ 1 Lacs+
219,NANDA BRAHMAMAY,Narghat,WBSP,0,8,Rs 3754872,~ 37 Lacs+,Rs 837,~ 8 Hund+
220,TAMSER ALI,Natabari,CPM,0,3,Rs 2526169,~ 25 Lacs+,Rs 261882,~ 2 Lacs+
221,BHUTNATH SAREN,Nayagram,CPM,0,7,Rs 139300,~ 1 Lacs+,Rs 349797,~ 3 Lacs+
222,KUSADHWAJ GHOSH,Noapara,CPM,0,10,Rs 6240513,~ 62 Lacs+,Rs 695134,~ 6 Lacs+
223,TARAPADA CHAKRABARTI,Onda,AIFB,0,8,Rs 878084,~ 8 Lacs+,Rs 102000,~ 1 Lacs+
224,BISWANATH GHOSH,Palashipara,CPM,0,7,Rs 833217,~ 8 Lacs+,Rs 0,~
225,DOLI ROY,Panchla,AIFB,0,8,Rs 304500,~ 3 Lacs+,Rs 0,~
226,SEKH MAJED ALI,Pandua,CPM,0,7,Rs 1475661,~ 14 Lacs+,Rs 0,~
227,GOPAL KRISHNA BHATTACHARYYA,Panihati,CPM,0,3,Rs 564799,~ 5 Lacs+,Rs 0,~
