Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
83,ANISUR RAHAMAN,Domkal,CPM,0,8,Rs 3195000,~ 31 Lacs+,Rs 0,~
92,JOGESH CH. BARMAN,Falakata,CPM,0,8,Rs 1314364,~ 13 Lacs+,Rs 0,~
84,GHOSH BHAKTI PADA,Dubrajpur,AIFB,0,8,Rs 442065,~ 4 Lacs+,Rs 0,~
85,REKHA GOSWAMI,Dum Dum,CPM,0,6,Rs 271481,~ 2 Lacs+,Rs 0,~
86,MRINAL BANERJEE,Durgapur-I,CPM,0,7,Rs 6114135,~ 61 Lacs+,Rs 0,~
128,BUDDHADEB BHATTACHARJEE,Jadavpur,CPM,0,6,Rs 1542394,~ 15 Lacs+,Rs 0,~
129,BIPLAB MAJUMDAR,Jagatballavpur,CPM,0,4,Rs 928168,~ 9 Lacs+,Rs 0,~
125,INDRAJIT TANGI,Indpur,CPI,0,7,Rs 1758708,~ 17 Lacs+,Rs 0,~
88,BIPRENDU KUMAR CHAKRABORTY,Durgapur-II,CPM,0,6,Rs 2437277,~ 24 Lacs+,Rs 50248,~ 50 Thou+
89,DAS SAMARES,Egra : Bye-election on 07-11-2009,AITC,0,8,Rs 5565959,~ 55 Lacs+,Rs 75000,~ 75 Thou+
79,LAKSHMI KANTA ROY,Dhupguri,CPM,0,4,Rs 460782,~ 4 Lacs+,Rs 0,~
131,BINDESWAR MAHATO,Jaipur,AIFB,0,3,Rs 1815000,~ 18 Lacs+,Rs 298358,~ 2 Lacs+
78,KSHITI GOSWAMI,Dhakuria,RSP,0,6,Rs 1198638,~ 11 Lacs+,Rs 0,~
91,HASHIM ABDUL HALIM,Entally,CPM,0,8,Rs 1508714,~ 15 Lacs+,Rs 0,~
124,MAHADEB PATRA,Indas,CPM,0,6,Rs 76000,~ 76 Thou+,Rs 0,~
87,ARCHANA BHATTACHARYA,Durgapur-I : Bye-election on 05-07-2010,CPI,0,3,Rs 465265,~ 4 Lacs+,Rs 0,~
28,RAHUL GHOSH,Baruipur,CPM,1,6,Rs 141685,~ 1 Lacs+,Rs 0,~
261,SONALI GUHA (BOSE),Satgachia,AITC,1,6,Rs 973979,~ 9 Lacs+,Rs 0,~
155,PRAFULLA KUMAR BHOWMICK,Karimpur,CPM,1,8,Rs 2565928,~ 25 Lacs+,Rs 0,~
115,TAJMUL HOSSAIN,Harishchandrapur,AIFB,1,3,Rs 2070618,~ 20 Lacs+,Rs 0,~
17,AHMED JAVED KHAN,Ballygunge,AITC,1,1,Rs 7650000,~ 76 Lacs+,Rs 1400000,~ 14 Lacs+
126,MD. FARUQUE,Islampur,CPM,1,7,Rs 1685270,~ 16 Lacs+,Rs 940,~ 9 Hund+
147,DHANANJOY MODAK,Kaliganj,RSP,1,6,Rs 550828,~ 5 Lacs+,Rs 224887,~ 2 Lacs+
277,ABU NASAR KHAN CHOUDHURY,Suzapur (Bye-election on 07-11-2009),INC,1,10,Rs 3502485,~ 35 Lacs+,Rs 0,~
282,KHARA SOREN,Tapan,RSP,1,3,Rs 1080243,~ 10 Lacs+,Rs 0,~
157,CHATTERJEE RABINDRANATH,Katwa,INC,1,6,Rs 2530935,~ 25 Lacs+,Rs 0,~
76,SK. JAHANGIR KARIM,Debra,CPM,1,4,Rs 466000,~ 4 Lacs+,Rs 237000,~ 2 Lacs+
246,SWADESH RANJAN NAYAK,Ramnagar,CPM,1,2,Rs 8144427,~ 81 Lacs+,Rs 2059400,~ 20 Lacs+
255,MILAN PARUA,Sagar,CPM,1,8,Rs 962437,~ 9 Lacs+,Rs 0,~
74,PRANAY RAI,Darjeeling,GNLF,1,7,Rs 349307,~ 3 Lacs+,Rs 0,~
71,AKSHAY THAKUR,Cooch Behar West,AIFB,1,1,Rs 738603,~ 7 Lacs+,Rs 0,~
81,ASHOK MANDAL,Dinhata,AITC,1,1,Rs 1100000,~ 11 Lacs+,Rs 0,~
209,SWAPAN DEBNATH,Nadanghat,AITC,1,8,Rs 348723,~ 3 Lacs+,Rs 142160,~ 1 Lacs+
216,JOYDEB HAZRA,Nanur,CPM,1,4,Rs 50000,~ 50 Thou+,Rs 0,~
58,MALAY KUMAR SAMANTA,Chakdaha,CPM,1,10,Rs 38160,~ 38 Thou+,Rs 28931,~ 28 Thou+
94,MAINUL HAQUE,Farakka,INC,1,3,Rs 2501400,~ 25 Lacs+,Rs 345445,~ 3 Lacs+
52,ASHOK KUMAR DEB,Budge Budge,AITC,1,7,Rs 30000,~ 30 Thou+,Rs 0,~
45,CHUNIBALA HANSDA,Binpur,JKP(N),1,3,Rs 1125365,~ 11 Lacs+,Rs 0,~
232,KISKU CHHOTAN,Phansidewa,CPM,1,3,Rs 505012,~ 5 Lacs+,Rs 0,~
101,GHOSH SUSANTA,Garhbeta East,CPM,1,4,Rs 4027744,~ 40 Lacs+,Rs 0,~
251,HARADHAN JHA,Raniganj,CPM,1,3,Rs 879230,~ 8 Lacs+,Rs 47663,~ 47 Thou+
166,MAHABUBUL HAQUE(BADAL),Kharba,INC,1,6,Rs 2978017,~ 29 Lacs+,Rs 135800,~ 1 Lacs+
168,MANABENDRANATH SAHA,Khargram,CPM,1,6,Rs 132000,~ 1 Lacs+,Rs 344500,~ 3 Lacs+
39,MANOJ CHAKRABORTY,Berhampore,IND,1,6,Rs 744624,~ 7 Lacs+,Rs 200000,~ 2 Lacs+
1,TAPAS PAUL,Alipore,AITC,1,6,Rs 7002653,~ 70 Lacs+,Rs 123259,~ 1 Lacs+
257,KHAGENDRA NATH MAHATA,Salbani,CPM,2,4,Rs 658706,~ 6 Lacs+,Rs 0,~
252,SOBHANDEB CHATTOPADHYAY,Rashbehari Avenue,AITC,2,7,Rs 2562518,~ 25 Lacs+,Rs 0,~
152,APURBA SARKAR (DAVID),Kandi,IND,2,4,Rs 765762,~ 7 Lacs+,Rs 0,~
138,AMAR BASU,Jhargram,CPM,2,6,Rs 473738,~ 4 Lacs+,Rs 30000,~ 30 Thou+
107,CHITTA RANJAN MANDAL,Gosaba,RSP,2,8,Rs 1436356,~ 14 Lacs+,Rs 35000,~ 35 Thou+
185,DHIREN BAGDI,Mahammad Bazar,CPM,2,3,Rs 37296,~ 37 Thou+,Rs 0,~
100,ABDUL KHALEQUE MOLLA,Garden Reach,INC,2,4,Rs 400000,~ 4 Lacs+,Rs 0,~
229,CHITTARANJAN DASTHAKUR,Panskura West,CPI,2,8,Rs 2567321,~ 25 Lacs+,Rs 0,~
175,JOYKRISHNA HALDER,Kultali,IND,2,3,Rs 72024,~ 72 Thou+,Rs 10800,~ 10 Thou+
99,NARAYAN BISWAS,Gangarampur,CPM,3,4,Rs 1042441,~ 10 Lacs+,Rs 0,~
159,RAMESWAR DOLOI,Keshpur,CPM,3,4,Rs 410939,~ 4 Lacs+,Rs 91994,~ 91 Thou+
104,ALI IMRAN RAMZ,Goalpokhar : Bye-election on 07-11-2009,AIFB,3,1,Rs 2543652,~ 25 Lacs+,Rs 0,~
217,ABU TAHER KHAN,Naoda,INC,3,3,Rs 3301000,~ 33 Lacs+,Rs 55324,~ 55 Thou+
46,ANANDA KUMAR BISWAS,Bishnupur East,CPM,4,7,Rs 898777,~ 8 Lacs+,Rs 0,~
69,SUVENDU ADHIKARI,Contai South,AITC,4,6,Rs 2574876,~ 25 Lacs+,Rs 400000,~ 4 Lacs+
228,AMIYA KUMAR SAHOO,Panskura East,CPM,4,6,Rs 1644600,~ 16 Lacs+,Rs 0,~
270,HARISH CHANDRA BARMAN,Sitalkuchi,CPM,5,4,Rs 768474,~ 7 Lacs+,Rs 0,~
90,KRISHNENDU NARAYAN CHOUDHURY,Englishbazar,INC,12,7,Rs 2470289,~ 24 Lacs+,Rs 0,~
