212,Dr. Surjya Kanta Mishra,NARAYANGARH,CPM,0,GraduateProfessional,Rs 1833873,~ 18 Lacs+,Rs 0,~
213,Rabindra Nath Ghosh,NATABARI,AITC,1,Graduate,Rs 11807005,~ 1 Crore+,Rs 393000,~ 3 Lacs+
214,Dulal Murmu,NAYAGRAM (ST),AITC,0,PostGraduate,Rs 104079,~ 1 Lacs+,Rs 2000,~ 2 Thou+
215,Manju Basu,NOAPARA,AITC,0,GraduateProfessional,Rs 1898000,~ 18 Lacs+,Rs 0,~
216,Arup Kumar Khan,ONDA,AITC,0,Graduate,Rs 1891236,~ 18 Lacs+,Rs 591225,~ 5 Lacs+
217,S.m.sadi,PALASHIPARA,CPM,0,TwelfthPass,Rs 702827,~ 7 Lacs+,Rs 170930,~ 1 Lacs+
218,Gulsan Mullick,PANCHLA,AITC,3,TwelfthPass,Rs 25526144,~ 2 Crore+,Rs 1298192,~ 12 Lacs+
219,Gouranga Chatterjee,PANDABESWAR,CPM,0,PostGraduate,Rs 36677,~ 36 Thou+,Rs 0,~
220,Sk. Amjad Hossain,PANDUA,CPM,1,Graduate,Rs 1407200,~ 14 Lacs+,Rs 0,~
221,Nirmal Ghosh,PANIHATI,AITC,0,Graduate,Rs 3167890,~ 31 Lacs+,Rs 0,~
222,Sk. Dr. Omar Ali,PANSKURA PASCHIM,AITC,0,TwelfthPass,Rs 2746861,~ 27 Lacs+,Rs 0,~
223,Biplab Roy Choudhury,PANSKURA PURBA,AITC,3,TwelfthPass,Rs 1320313,~ 13 Lacs+,Rs 0,~
224,Umapada Baur,PARA (SC),INC,0,Graduate,Rs 533602,~ 5 Lacs+,Rs 0,~
225,Jyotirmoy Kar,PATASHPUR,AITC,0,PostGraduate,Rs 3967467,~ 39 Lacs+,Rs 0,~
226,Samir Kumar Jana,PATHARPRATIMA,AITC,4,PostGraduate,Rs 1494850,~ 14 Lacs+,Rs 0,~
227,Sunil Chandra Tirkey,PHANSIDEWA (ST),INC,0,Graduate,Rs 5385008,~ 53 Lacs+,Rs 0,~
228,Prabodh Chandra Sinha,PINGLA,DSP(PC),0,PostGraduate,Rs 10202437,~ 1 Crore+,Rs 0,~
229,Swapan Debnath,PURBASTHALI DAKSHIN,AITC,0,PostGraduate,Rs 2352087,~ 23 Lacs+,Rs 19838,~ 19 Thou+
230,Tapan Chatterjee,PURBASTHALI UTTAR,AITC,5,TwelfthPass,Rs 2687733,~ 26 Lacs+,Rs 59369,~ 59 Thou+
231,Sk Parvez Rahman,PURSURAH,AITC,7,TwelfthPass,Rs 2714019,~ 27 Lacs+,Rs 0,~
232,Kamakshya Prasad Singh Deo,PURULIA,AITC,0,TwelfthPass,Rs 6300906,~ 63 Lacs+,Rs 0,~
233,Akhruzzaman,RAGHUNATHGANJ,INC,1,GraduateProfessional,Rs 2845408,~ 28 Lacs+,Rs 0,~
234,Purna Chandra Bauri,RAGHUNATHPUR (SC),AITC,0,FifthPass,Rs 1889271,~ 18 Lacs+,Rs 495400,~ 4 Lacs+
235,Debasree Roy,RAIDIGHI,AITC,0,TwelfthPass,Rs 6781971,~ 67 Lacs+,Rs 1355804,~ 13 Lacs+
236,Mohit Sengupta,RAIGANJ,INC,2,Graduate,Rs 5586203,~ 55 Lacs+,Rs 267632,~ 2 Lacs+
237,Basudeb Khan,RAINA (SC),CPM,0,Others,Rs 292127,~ 2 Lacs+,Rs 0,~
238,Upen Kisku,RAIPUR (ST),CPM,0,Graduate,Rs 2356444,~ 23 Lacs+,Rs 300000,~ 3 Lacs+
239,Purnendu Basu,RAJARHAT GOPALPUR,AITC,0,Graduate,Rs 923528,~ 9 Lacs+,Rs 0,~
240,Sri Sabyasachi Dutta,RAJARHAT NEW TOWN,AITC,0,GraduateProfessional,Rs 4355410,~ 43 Lacs+,Rs 0,~
241,Khageswar Roy,RAJGANJ,AITC,0,TwelfthPass,Rs 1181524,~ 11 Lacs+,Rs 175000,~ 1 Lacs+
242,Akhil Giri,RAMNAGAR,AITC,12,TwelfthPass,Rs 1137000,~ 11 Lacs+,Rs 850000,~ 8 Lacs+
243,Asish Banerjee,RAMPURHAT,AITC,0,Doctorate,Rs 3575914,~ 35 Lacs+,Rs 0,~
244,Abir Ranjan Biswas,RANAGHAT DAKSHIN (SC),AITC,0,PostGraduate,Rs 2763417,~ 27 Lacs+,Rs 0,~
245,Parthasarathi Chatterjee,RANAGHAT UTTAR PASCHIM,AITC,0,GraduateProfessional,Rs 4307474,~ 43 Lacs+,Rs 348000,~ 3 Lacs+
246,Samir Kumar Poddar,RANAGHAT UTTAR PURBA (SC),AITC,0,Graduate,Rs 13789060,~ 1 Crore+,Rs 7381678,~ 73 Lacs+
247,Deblina Hembram,RANIBUNDH (ST),CPM,0,TenthPass,Rs 1716452,~ 17 Lacs+,Rs 303884,~ 3 Lacs+
248,Md. Sohrab Ali,RANIGANJ,AITC,6,TenthPass,Rs 30563899,~ 3 Crore+,Rs 5547500,~ 55 Lacs+
249,Firoza Begam,RANINAGAR,INC,0,PostGraduate,Rs 4359808,~ 43 Lacs+,Rs 729961,~ 7 Lacs+
250,Sobhandeb Chattopadhyay,RASHBEHARI,AITC,0,GraduateProfessional,Rs 8518264,~ 85 Lacs+,Rs 0,~
251,Samar Mukherjee,RATUA,INC,0,TwelfthPass,Rs 1390555,~ 13 Lacs+,Rs 0,~
252,Humayun Kabir,REJINAGAR,INC,6,EighthPass,Rs 10465865,~ 1 Crore+,Rs 3400000,~ 34 Lacs+
253,Manas Ranjan Bhunia,SABANG,INC,0,GraduateProfessional,Rs 19842961,~ 1 Crore+,Rs 0,~
254,Bankim Chandra Hazra,SAGAR,AITC,0,PostGraduate,Rs 2276285,~ 22 Lacs+,Rs 0,~
255,Subrata Saha,SAGARDIGHI,AITC,0,GraduateProfessional,Rs 6032600,~ 60 Lacs+,Rs 1407230,~ 14 Lacs+
256,Dhiren Bagdi,SAINTHIA (SC),CPM,1,EighthPass,Rs 1070928,~ 10 Lacs+,Rs 187317,~ 1 Lacs+
257,Srikanta Mahata,SALBONI,AITC,2,Graduate,Rs 704372,~ 7 Lacs+,Rs 46537,~ 46 Thou+
258,Sri Swapan Bauri,SALTORA (SC),AITC,0,TenthPass,Rs 473060,~ 4 Lacs+,Rs 0,~
259,Touab Ali,SAMSERGANJ,CPM,0,TwelfthPass,Rs 3317450,~ 33 Lacs+,Rs 121388,~ 1 Lacs+
260,Nirapada Sardar,SANDESHKHALI (ST),CPM,0,GraduateProfessional,Rs 771505,~ 7 Lacs+,Rs 7000,~ 7 Thou+
261,Sital Kumar Sardar,SANKRAIL (SC),AITC,1,TwelfthPass,Rs 3143541,~ 31 Lacs+,Rs 0,~
262,Ajoy Dey,SANTIPUR,INC,0,Graduate,Rs 1989139,~ 19 Lacs+,Rs 43613,~ 43 Thou+
263,Tapan Dasgupta,SAPTAGRAM,AITC,0,Graduate,Rs 1556431,~ 15 Lacs+,Rs 0,~
264,Sonali Guha (bose),SATGACHIA,AITC,2,Graduate,Rs 2824199,~ 28 Lacs+,Rs 0,~
265,Jatu Lahiri,SHIBPUR,AITC,2,TenthPass,Rs 5909784,~ 59 Lacs+,Rs 0,~
266,Shashi Panja,SHYAMPUKUR,AITC,0,GraduateProfessional,Rs 37359910,~ 3 Crore+,Rs 0,~
267,Kalipada Mandal,SHYAMPUR,AITC,0,GraduateProfessional,Rs 2481041,~ 24 Lacs+,Rs 0,~
268,Rudra Nath Bhattacharya,SILIGURI,AITC,0,PostGraduate,Rs 11711416,~ 1 Crore+,Rs 288719,~ 2 Lacs+
269,Rabindranath Bhattacharya,SINGUR,AITC,2,PostGraduate,Rs 1600307,~ 16 Lacs+,Rs 0,~
270,Dipali Saha,SONAMUKHI (SC),AITC,2,TenthPass,Rs 2713195,~ 27 Lacs+,Rs 520813,~ 5 Lacs+
271,Firdousi Begum,SONARPUR UTTAR,AITC,0,TwelfthPass,Rs 7118800,~ 71 Lacs+,Rs 59895,~ 59 Thou+
272,Sudipta Roy,SREERAMPUR,AITC,0,PostGraduate,Rs 31251423,~ 3 Crore+,Rs 0,~
273,Abu Nasar Khan Choudhury,SUJAPUR,INC,1,Doctorate,Rs 2977708,~ 29 Lacs+,Rs 0,~
274,Swapan Kanti Ghosh,SURI,AITC,1,TwelfthPass,Rs 120143670,~ 12 Crore+,Rs 11860714,~ 1 Crore+
275,Emani Biswas,SUTI,INC,0,TwelfthPass,Rs 41185393,~ 4 Crore+,Rs 4489378,~ 44 Lacs+
276,Bina Mondal,SWARUPNAGAR,AITC,0,Graduate,Rs 1386810,~ 13 Lacs+,Rs 0,~
277,Manoranjan Patra,TALDANGRA,CPM,1,TwelfthPass,Rs 2431536,~ 24 Lacs+,Rs 0,~
278,Sauman Kumar Mahapatra,TAMLUK,AITC,0,Doctorate,Rs 17647277,~ 1 Crore+,Rs 0,~
279,Bachchu Hansda,TAPAN (ST),AITC,0,PostGraduate,Rs 854513,~ 8 Lacs+,Rs 848513,~ 8 Lacs+
280,Rachhpal Singh,TARAKESWAR,AITC,0,GraduateProfessional,Rs 5970674,~ 59 Lacs+,Rs 2000000,~ 20 Lacs+
281,Ranjit Kumar Mandal,TEHATTA,CPM,0,PostGraduate,Rs 1468665,~ 14 Lacs+,Rs 50000,~ 50 Thou+
282,Aroop Biswas,TOLLYGUNJ,AITC,2,Graduate,Rs 7532932,~ 75 Lacs+,Rs 0,~
283,Arghya Roy Pradhan,TUFANGANJ,AITC,0,Graduate,Rs 811122,~ 8 Lacs+,Rs 0,~
284,Samir Kumar Panja,UDAYNARAYANPUR,AITC,3,GraduateProfessional,Rs 3066949,~ 30 Lacs+,Rs 688590,~ 6 Lacs+
285,Pulak Roy,ULUBERIA DAKSHIN,AITC,3,Graduate,Rs 2011680,~ 20 Lacs+,Rs 525292,~ 5 Lacs+
286,Haider Aziz Safwi,ULUBERIA PURBA,AITC,0,PostGraduate,Rs 53381084,~ 5 Crore+,Rs 136566,~ 1 Lacs+
287,Nirmal Maji,ULUBERIA UTTAR (SC),AITC,0,GraduateProfessional,Rs 2269652,~ 22 Lacs+,Rs 0,~
288,Anup Ghosal,UTTARPARA,AITC,0,Doctorate,Rs 14226272,~ 1 Crore+,Rs 0,~
1,Minati Misra,BANKURA: BYE - ELECTION ON 12-06-2012,AITC,0,GraduateProfessional,Rs 3205480,~ 32 Lacs+,Rs 0,~
2,A.t.m. Abdulla (rony),BASIRHAT UTTAR: BYE-ELECTION ON 25-09-2011,AITC,0,Graduate,Rs 559500,~ 5 Lacs+,Rs 0,~
3,Mamata Banerjee,BHABANIPUR: BYE-ELECTION ON 25-09-2011,AITC,0,PostGraduate,Rs 1584190,~ 15 Lacs+,Rs 0,~
4,Mamata Bhunia,DASPUR: BYE - ELECTION ON 12-06-2012,AITC,0,TenthPass,Rs 317600,~ 3 Lacs+,Rs 0,~
